Continent_Of_Death	Country_Of_Death	Location_Of_Death	Dead_Host_Order	BirdTree_Dead_Host_Species	Dead_Host_Native_To	Host_Native_Or_Not	Host_Captive_Or_Wild	Host_Age	Naive_To_Parasite	Parasite_Genus	Parasite_Cytb_Lineage	SESMPD	Parasite_Distribution	Authors_State_Caused_Or_Associated_W_Death	Pathology_Or_Stated_Cause_Of_Death	Paper_Title	Year	Citation	Notes
North America	USA	"San Diego, California"	Passeriformes	Tangara_mexicana	South America	Not	Captive	Juvenile	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
North America	USA	"San Diego, California"	Passeriformes	Tangara_mexicana	South America	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
North America	USA	"San Diego, California"	Passeriformes	Paroaria_gularis	South America	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
North America	USA	"San Diego, California"	Passeriformes	Paroaria_gularis	South America	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
North America	USA	"San Diego, California"	Passeriformes	Paroaria_gularis	South America	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
North America	USA	"San Diego, California"	Passeriformes	Paroaria_gularis	South America	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
North America	USA	"San Diego, California"	Passeriformes	Tangara_cyanicollis	South America	Not	Captive	Juvenile	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
South America	Brazil	Sao Paulo	Spheniciformes	Spheniscus_magellanicus	South America (Insular)	Not	Captive	Uknown	Naive	Plasmodium	SPMAG06	-1.25	South America	Caused_death	"Pg. 125: ""This study reports avian malaria caused by P. relictum in Magellanic Penguins (S. magellanicus) from Sa_o Paulo Zoo. To our knowledge, this is the first report of this parasite in Brazil. The disease was highly infective among the birds and clinically characterized by its acute course and high mortality. Thin blood smears obtained from four penguins (26157, 26159, 29092 and 29093) were positive for malaria (with 0.4, 0.4, 6.8 and 11% of parasitemia, respectively)"""	"Identification ofﾊPlasmodium relictumﾊcausing mortality in penguins (Spheniscus magellanicus) from S黍 Paulo Zoo, Brazil"	2010	Bueno et al.	Sample 29092. Listed as not native because zoo is located inland where this species is not found naturally 
South America	Brazil	Sao Paulo	Spheniciformes	Spheniscus_magellanicus	South America (Insular)	Not	Captive	Uknown	Unknown	Plasmodium	SPMAG07	NA	Unknown_Single_Record	Caused_death	"Pg. 125: ""This study reports avian malaria caused by P. relictum in Magellanic Penguins (S. magellanicus) from Sa_o Paulo Zoo. To our knowledge, this is the first report of this parasite in Brazil. The disease was highly infective among the birds and clinically characterized by its acute course and high mortality. Thin blood smears obtained from four penguins (26157, 26159, 29092 and 29093) were positive for malaria (with 0.4, 0.4, 6.8 and 11% of parasitemia, respectively)"""	"Identification ofﾊPlasmodium relictumﾊcausing mortality in penguins (Spheniscus magellanicus) from S黍 Paulo Zoo, Brazil"	2010	Bueno et al.	Sample 29093. Listed as not native because zoo is located inland where this species is not found naturally 
Oceania	New Zealand	Stewart Island	Spheniciformes	Megadyptes_antipodes	New Zealand	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	MEGANT01	NA	Oceania	Associated_with_death	"Pg. 1480:  ""2 (14 %) chicks showed severe, disseminated megaloschizont formation characteristic of leucocytozoon in the liver, spleen, lung, kidney and other tissues (Fig. 3). These birds were aged 22 and 108 days, and were the oldest chicks sampled."" Pg. 1481: ""A definitive link between Leucocytozoon and nestling deaths was not confirmed although histo- logical examination suggests that older chicks (n=2) may have died with disseminated leucocytozoonosis."""	"Prevalence ofﾊLeucocytozoonﾊspp, in the endangered yellow-eyed penguinﾊMegadyptes antipodes"	2010	Hill et al.	YEP-2
Europe	Austria	Vienna	Spheniciformes	Spheniscus_humboldti	South America (coastal)	Not	Captive	Unknown	Naive	Plasmodium	GRW06	1.26	"Africa,Asia,Europe,North America,Oceania,South America"	Associated_with_death	"Pg. 317: ""Lesions typical of avian malaria, including splenomegaly, hepatomegaly and severe pulmonary oedema were present in nine out of 48 penguins. Histologically, in five of these nine penguins (four Humboldt penguins, one rockhopper penguin) numer- ous protozoal meronts were evident in the capillary endothelium of various tissues, especially the lung, liver, spleen and brain by standard haematoxylin and eosin staining."""	Application of in-situ hybridization for the detection and identification of avian malaria parasites in paraffin wax-embedded tissues from captive penguins 	2011	Dinhopl et al.	"GenBank Accession: HQ404525. Sequence identical to lineages TRMUS02, ENRUF02, and COPIL01 though sample assigned to GRW06 because these three lineages are not known from Europe."
Europe	Austria	Vienna	Spheniciformes	Spheniscus_humboldti	South America (coastal)	Not	Captive	Unknown	Naive	Plasmodium	GRW06	1.26	"Africa,Asia,Europe,North America,Oceania,South America"	Associated_with_death	"Pg. 317: ""Lesions typical of avian malaria, including splenomegaly, hepatomegaly and severe pulmonary oedema were present in nine out of 48 penguins. Histologically, in five of these nine penguins (four Humboldt penguins, one rockhopper penguin) numer- ous protozoal meronts were evident in the capillary endothelium of various tissues, especially the lung, liver, spleen and brain by standard haematoxylin and eosin staining."""	Application of in-situ hybridization for the detection and identification of avian malaria parasites in paraffin wax-embedded tissues from captive penguins 	2011	Dinhopl et al.	"GenBank Accession: HQ404529. Sequence identical to lineages TRMUS02, ENRUF02, and COPIL01 though sample assigned to GRW06 because these three lineages are not known from Europe."
Europe	Austria	Vienna	Spheniciformes	Spheniscus_humboldti	South America (coastal)	Not	Captive	Unknown	Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 317: ""Lesions typical of avian malaria, including splenomegaly, hepatomegaly and severe pulmonary oedema were present in nine out of 48 penguins. Histologically, in five of these nine penguins (four Humboldt penguins, one rockhopper penguin) numer- ous protozoal meronts were evident in the capillary endothelium of various tissues, especially the lung, liver, spleen and brain by standard haematoxylin and eosin staining."""	Application of in-situ hybridization for the detection and identification of avian malaria parasites in paraffin wax-embedded tissues from captive penguins 	2011	Dinhopl et al.	GenBank Accession: HQ404531. Sequence could not be distinguished from lineage AFTRU5
Europe	Austria	Vienna	Spheniciformes	Spheniscus_humboldti	South America (coastal)	Not	Captive	Unknown	Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 317: ""Lesions typical of avian malaria, including splenomegaly, hepatomegaly and severe pulmonary oedema were present in nine out of 48 penguins. Histologically, in five of these nine penguins (four Humboldt penguins, one rockhopper penguin) numer- ous protozoal meronts were evident in the capillary endothelium of various tissues, especially the lung, liver, spleen and brain by standard haematoxylin and eosin staining."""	Application of in-situ hybridization for the detection and identification of avian malaria parasites in paraffin wax-embedded tissues from captive penguins 	2011	Dinhopl et al.	GenBank Accession: HQ404532.Sequence could not be distinguished from lineage AFTRU5
Europe	Switzerland		Psittaciformes	Cyanoramphus_auriceps	New Zealand	Not	Captive	Not_stated	Naive	Haemoproteus	TUPHI01	-1.43	"Asia,Europe,North America,South America"	Caused_death	"Pg. 951: ""Necropsy and histologic examination of 7 animals with fatal disease showed numerous large cyst-like protozoan structures (size up to 800 _m in diameter; online Technical Appendix Figure) in myocardial and skeletal muscles and, to a lesser extent, in the lung and the smooth muscles of the intestinal tract without obvious signs of inflammation. The cyst-like structures had a thick eosinophilic outer wall, were partly compartmented by internal septae, and were filled with many merozoites. Surrounding muscle fibers were degenerated or necrotic and, in some cases, associated with hemorrhage. Blood smears of clinically affected animals screened for ﾅ5 _ 105 cells each did not show parasites."" ... ""In conclusion, we identified the cause of a previously unexplained lethal disease of captive parrots in Europe, induced by numerous large cyst-like megalomeronts in several organs, including the heart."""	"Avian Malaria Deaths in Parrots, Europe"	2011	Olias et al.	
Europe	Germany		Psittaciformes	Bolborhynchus_lineola	"Central America, South America"	Not	Captive	Not_stated	Naive	Haemoproteus	TURDUS2	-2.03	"Africa,Asia,Europe,North America,South America"	Caused_death	"Pg. 951: ""Necropsy and histologic examination of 7 animals with fatal disease showed numerous large cyst-like protozoan structures (size up to 800 _m in diameter; online Technical Appendix Figure) in myocardial and skeletal muscles and, to a lesser extent, in the lung and the smooth muscles of the intestinal tract without obvious signs of inflammation. The cyst-like structures had a thick eosinophilic outer wall, were partly compartmented by internal septae, and were filled with many merozoites. Surrounding muscle fibers were degenerated or necrotic and, in some cases, associated with hemorrhage. Blood smears of clinically affected animals screened for ﾅ5 _ 105 cells each did not show parasites."" ... ""In conclusion, we identified the cause of a previously unexplained lethal disease of captive parrots in Europe, induced by numerous large cyst-like megalomeronts in several organs, including the heart."""	"Avian Malaria Deaths in Parrots, Europe"	2011	Olias et al.	
Europe	Germany		Psittaciformes	Melopsittacus_undulatus	Australia	Not	Captive	Not_stated	Naive	Haemoproteus	TUPHI01	-1.43	"Asia,Europe,North America,South America"	Caused_death	"Pg. 951: ""Necropsy and histologic examination of 7 animals with fatal disease showed numerous large cyst-like protozoan structures (size up to 800 _m in diameter; online Technical Appendix Figure) in myocardial and skeletal muscles and, to a lesser extent, in the lung and the smooth muscles of the intestinal tract without obvious signs of inflammation. The cyst-like structures had a thick eosinophilic outer wall, were partly compartmented by internal septae, and were filled with many merozoites. Surrounding muscle fibers were degenerated or necrotic and, in some cases, associated with hemorrhage. Blood smears of clinically affected animals screened for ﾅ5 _ 105 cells each did not show parasites."" ... ""In conclusion, we identified the cause of a previously unexplained lethal disease of captive parrots in Europe, induced by numerous large cyst-like megalomeronts in several organs, including the heart."""	"Avian Malaria Deaths in Parrots, Europe"	2011	Olias et al.	
Oceania	New Zealand		Apterygiformes	Apteryx_haastii	New Zealand	Native	Wild	Unknown	Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Caused_death	"Pg. 919: ""Taken together, the clinical history of the hihi and great spotted kiwi and the histopathological findings in all three birds are highly suggestive of death from acute Plasmodium spp. infection."""	"Malaria parasites (Plasmodium spp.) infecting introduced, native and endemic New Zealand birds"	2012	Howe et al.	
Oceania	New Zealand		Passeriformes	Turdus_merula	Eurasia	Not	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Caused_death	"Pg. 919: ""Taken together, the clinical history of the hihi and great spotted kiwi and the histopathological findings in all three birds are highly suggestive of death from acute Plasmodium spp. infection."""	"Malaria parasites (Plasmodium spp.) infecting introduced, native and endemic New Zealand birds"	2012	Howe et al.	
Oceania	New Zealand		Passeriformes	Notiomystis_cincta	New Zealand	Native	Wild	Juvenile	Naive	Plasmodium	GRW04	-1.22	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 919: ""Taken together, the clinical history of the hihi and great spotted kiwi and the histopathological findings in all three birds are highly suggestive of death from acute Plasmodium spp. infection."""	"Malaria parasites (Plasmodium spp.) infecting introduced, native and endemic New Zealand birds"	2012	Howe et al.	
South America	Brazil	Florianopolis	Spheniciformes	Spheniscus_magellanicus	South America (Insular)	Not	Captive	Unknown	Unknown	Plasmodium	SPMAG01	NA	Unknown_Single_Record	Caused_death	"Pg. 166: "" Macroscopic evaluation revealed marked splenomegaly and pulmonary edema, as well as moderate hepatomegaly and hydropericardium. Histopathology revealed the presence of tissue meronts in the macrophages and endothelial cells of multiple organs (Fig. 1). Meronts were seen with high intensity in the heart and kidneys, mod- erate intensity in the lungs, and were rare in the spleen, testicles and liver. Tissue meronts were highly variable in form, adapting to as well as distorting the contour of the infected cell, ranging between 10 and 80 _m in largest diameter, most frequently from 15 to 30 _m. The envelope of tissue meronts was mildly eosinophilic, thin and poorly defined. Each meront contained tens to hundreds visible merozoites, which were round and densely stained with size of approximately 1 _m in diameter (Fig. 1). Other major pathological processes included moderate to severe diffuse interstitial granulocytic pneumonia, moderate pulmonary edema and congestion, severe acute necrotizing splenitis, moderate multifocal to coalescent mixed necrotizing hepatitis and nephritis and mild diffuse granulocytic myocarditis with multifocal to coales- cent areas of cardiomyolisis. Death probably resulted due to cardiorespiratory insufficiency secondary to pneumonia."" Pg. 169: ""In this study we report P. tejerai infections leading to the mortality of Magellanic penguins undergoing rehabilitation in South Brazil."""	Parasitological and new molecular-phylogenetic characterization of the malaria parasite Plasmodium tejerai in South American penguins	2012	Silveira et al.	
South America	Brazil	Florianopolis	Spheniciformes	Spheniscus_magellanicus	South America (Insular)	Not	Captive	Unknown	Unknown	Plasmodium	SPMAG02	NA	Unknown_Single_Record	Caused_death	"Pg. 166: "" Macroscopic evaluation revealed marked splenomegaly and pulmonary edema, as well as moderate hepatomegaly and hydropericardium. Histopathology revealed the presence of tissue meronts in the macrophages and endothelial cells of multiple organs (Fig. 1). Meronts were seen with high intensity in the heart and kidneys, mod- erate intensity in the lungs, and were rare in the spleen, testicles and liver. Tissue meronts were highly variable in form, adapting to as well as distorting the contour of the infected cell, ranging between 10 and 80 _m in largest diameter, most frequently from 15 to 30 _m. The envelope of tissue meronts was mildly eosinophilic, thin and poorly defined. Each meront contained tens to hundreds visible merozoites, which were round and densely stained with size of approximately 1 _m in diameter (Fig. 1). Other major pathological processes included moderate to severe diffuse interstitial granulocytic pneumonia, moderate pulmonary edema and congestion, severe acute necrotizing splenitis, moderate multifocal to coalescent mixed necrotizing hepatitis and nephritis and mild diffuse granulocytic myocarditis with multifocal to coales- cent areas of cardiomyolisis. Death probably resulted due to cardiorespiratory insufficiency secondary to pneumonia."" Pg. 169: ""In this study we report P. tejerai infections leading to the mortality of Magellanic penguins undergoing rehabilitation in South Brazil."""	Parasitological and new molecular-phylogenetic characterization of the malaria parasite Plasmodium tejerai in South American penguins	2012	Silveira et al.	
Oceania	New Zealand	Enderby Island	Spheniciformes	Megdyptes_antipodes	New Zealand	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	MEGANT01	NA	Oceania	Caused_death	"Pg. 675: ""There were multiple gross abnormalities noted including widespread petechial and ecchymotic haemorrhages throughout most organs and hepato- and splenomegaly. There were 2ﾐ3 mL of serous fluid in the pericardial sac. The proventriculus was full and squid pieces were able to be identified. This chick had good fat reserves and was in good body condition. Histopathology results indi- cated severe disseminated leucocytozoonosis with megaloschizonts present in high numbers through- out most organs including the liver, spleen, kidneys, intestinal wall, thymus, heart and lungs (Fig. 3, Table 1). The most likely cause of death for this chick was severe disseminated leucocytozoonosis."""	High prevalence of Leucocytozoon spp. in the endangered yellow-eyed penguin (Megadyptes antipodes) in the sub-Antarctic regions of New Zealand	2013	Argilla et al.	
